Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret,Dataset,Bounding_Box
c:1/2 - Cep120_gtub_024_SIR_PRJ.dv,4,0.264,0.066,0.258,0,0,0.829,0.329,5.955,3.822,89.982,0.242,CEP120/20111106,0.241
c:1/2 - Cep120_gtub_025_SIR_PRJ.dv,6,0.410,0.068,0.401,0,0,0.857,0.325,3.384,5.313,101.235,0.246,CEP120/20111106,0.352
c:1/2 - Cep120_gtub_026_SIR_PRJ.dv,5,0.451,0.090,0.441,0,0,1.222,0.430,5.862,5.704,129.687,0.293,CEP120/20111106,0.398
c:1/2 - Cep120_gtub_027_SIR_PRJ.dv,2,0.360,0.180,0.352,0,0,1.572,0.572,4.938,5.017,95.494,0.435,CEP120/20111106,0.241
c:1/2 - Cep120_gtub_028_SIR_PRJ.dv,3,0.289,0.096,0.282,0,0,1.192,0.437,5.148,5.886,92.373,0.317,CEP120/20111106,0.225
c:1/2 - Cep120_gtub_030_SIR_PRJ.dv,4,0.222,0.055,0.217,0,0,0.760,0.288,7.594,5.165,118.532,0.223,CEP120/20111106,0.206
c:1/2 - JG_Cep120_gtub_001_SIR_PRJ.dv,3,0.337,0.112,0.330,0,0,1.185,0.433,4.174,5.886,112.022,0.316,CEP120/20111106,0.241
c:1/2 - JG_Cep120_gtub_002_SIR_PRJ.dv,1,0.150,0.150,0.146,0,0,1.414,0.482,3.476,7.584,124.992,0.435,CEP120/20111106,0.189
c:1/2 - JG_Cep120_gtub_003_SIR_PRJ.dv,3,0.225,0.075,0.220,0,0,1.098,0.366,4.595,6.030,143.290,0.289,CEP120/20111106,0.206
c:1/2 - JG_Cep120_gtub_005_SIR_PRJ.dv,2,0.232,0.116,0.227,0,0,1.233,0.451,5.372,5.471,82.414,0.359,CEP120/20111106,0.244
c:1/2 - JG_Cep120_gtub_006_SIR_PRJ.dv,1,0.237,0.237,0.232,0,0,2.191,0.830,5.965,5.688,154.654,0.435,CEP120/20111106,0.327
c:1/2 - JG_Cep120_gtub_007_SIR_PRJ.dv,2,0.445,0.222,0.435,0,0,1.845,0.686,4.997,5.313,41.746,0.473,CEP120/20111106,0.398
c:1/2 - JG_Cep120_gtub_008_SIR_PRJ.dv,2,0.418,0.209,0.409,0,0,1.922,0.664,4.839,5.056,76.583,0.389,CEP120/20111106,0.790
c:1/2 - JG_Cep120_gtub_009_SIR_PRJ.dv,2,0.218,0.109,0.214,0,0,1.235,0.466,5.076,5.333,136.441,0.352,CEP120/20111106,0.172
c:1/2 - JG_Cep120_gtub_010_SIR_PRJ.dv,2,0.357,0.179,0.349,0,0,1.654,0.605,4.385,5.510,96.662,0.439,CEP120/20111106,0.264
c:1/2 - JG_Cep120_gtub_011_SIR_PRJ.dv,1,0.189,0.189,0.185,0,0,1.647,0.575,5.135,5.530,15.945,0.477,CEP120/20111106,0.284
c:1/2 - JG_Cep120_gtub_012_SIR_PRJ.dv,3,0.329,0.110,0.322,0,0,1.345,0.513,5.017,3.766,84.915,0.280,CEP120/20111106,0.515
c:1/2 - JG_Cep120_gtub_014_SIR_PRJ.dv,2,0.231,0.115,0.226,0,0,1.335,0.514,5.352,4.720,157.380,0.336,CEP120/20111106,0.187
c:1/2 - JG_Cep120_gtub_015_SIR_PRJ.dv,2,0.240,0.120,0.235,0,0,1.407,0.469,4.957,5.471,90.409,0.375,CEP120/20111106,0.206
c:1/2 - JG_Cep120_gtub_018_SIR_PRJ.dv,2,0.195,0.098,0.191,0,0,1.077,0.400,6.044,5.649,122.327,0.289,CEP120/20111106,0.264
c:1/2 - JG_Cep120_gtub_020_SIR_PRJ.dv,2,0.242,0.121,0.237,0,0,1.340,0.494,5.767,4.819,132.200,0.355,CEP120/20111106,0.206
c:1/2 - JG_Cep120_gtub_023_SIR_PRJ.dv,3,0.228,0.076,0.223,0,0,0.937,0.352,4.859,6.518,52.042,0.271,CEP120/20111106,0.244
c:1/2 - JG_Cep120_gtub_024_SIR_PRJ.dv,1,0.187,0.187,0.183,0,0,2.038,0.767,4.385,5.293,124.509,0.447,CEP120/20111106,0.375
c:1/2 - JG_Cep120_gtub_026_SIR_PRJ.dv,2,0.325,0.162,0.317,0,0,1.519,0.526,4.839,5.273,69.805,0.449,CEP120/20111106,0.284
c:1/2 - JG_Cep120_gtub_027_SIR_PRJ.dv,1,0.281,0.281,0.275,0,0,2.387,0.814,5.412,5.649,157.166,0.581,CEP120/20111106,0.505
c:1/2 - JG_Cep120_gtub_028_SIR_PRJ.dv,2,0.222,0.111,0.217,0,0,1.312,0.445,5.352,5.886,58.704,0.368,CEP120/20111106,0.225
c:1/2 - JG_Cep120_gtub_029_SIR_PRJ.dv,3,0.326,0.109,0.319,0,0,1.157,0.425,6.254,4.477,110.014,0.320,CEP120/20111106,0.305
c:1/2 - JG_Cep120_gtub_030_SIR_PRJ.dv,2,0.187,0.094,0.183,0,0,1.075,0.398,4.720,5.510,54.434,0.300,CEP120/20111106,0.284
c:1/2 - Cep120_gtub_001_SIR_PRJ.dv,2,0.309,0.154,0.302,0,0,1.707,0.566,5.234,5.293,135.000,0.395,CEP120/20111209,0.224
c:1/2 - Cep120_gtub_002_SIR_PRJ.dv,2,0.167,0.083,0.163,0,0,1.031,0.382,6.083,5.214,25.453,0.274,CEP120/20111209,0.225
c:1/2 - Cep120_gtub_003_SIR_PRJ.dv,2,0.176,0.088,0.172,0,0,1.003,0.364,5.826,4.543,129.848,0.296,CEP120/20111209,0.206
c:1/2 - Cep120_gtub_005_SIR_PRJ.dv,2,0.164,0.082,0.160,0,0,0.958,0.349,4.720,5.194,62.348,0.277,CEP120/20111209,0.206
c:1/2 - Cep120_gtub_007_SIR_PRJ.dv,1,0.140,0.140,0.137,0,0,1.381,0.515,4.582,5.807,147.529,0.395,CEP120/20111209,0.172
c:1/2 - Cep120_gtub_008_SIR_PRJ.dv,4,0.296,0.074,0.290,0,0,0.911,0.349,5.214,6.044,109.861,0.252,CEP120/20111209,0.183
c:1/2 - Cep120_gtub_009_SIR_PRJ.dv,3,0.296,0.099,0.290,0,0,1.329,0.508,5.096,5.280,103.495,0.254,CEP120/20111209,0.721
c:1/2 - Cep120_gtub_011_SIR_PRJ.dv,1,0.220,0.220,0.215,0,0,2.475,0.745,4.227,5.293,57.995,0.469,CEP120/20111209,0.452
c:1/2 - Cep120_gtub_013_SIR_PRJ.dv,1,0.261,0.261,0.255,0,0,2.479,0.877,4.701,4.938,125.838,0.580,CEP120/20111209,0.475
c:1/2 - Cep120_gtub_015_SIR_PRJ.dv,2,0.169,0.084,0.165,0,0,1.131,0.420,4.720,5.826,126.449,0.300,CEP120/20111209,0.206
c:1/2 - Cep152_gtub_001_SIR_PRJ.dv,2,0.303,0.151,0.296,0,0,1.735,0.578,6.044,6.202,139.731,0.415,CEP152,0.218
c:1/2 - Cep152_gtub_002_SIR_PRJ.dv,4,0.298,0.075,0.291,0,0,1.068,0.385,7.377,6.903,111.705,0.281,CEP152,0.225
c:1/2 - Cep152_gtub_003_SIR_PRJ.dv,2,0.270,0.135,0.264,0,0,1.405,0.515,4.622,5.412,139.065,0.399,CEP152,0.225
c:1/2 - Cep152_gtub_006_SIR_PRJ.dv,23,1.176,0.051,1.151,0,0,1.072,0.452,3.753,4.000,117.439,0.175,CEP152,1.733
c:1/2 - Cep152_gtub_009_SIR_PRJ.dv,1,0.111,0.111,0.108,0,0,1.680,0.520,4.819,4.898,8.746,0.425,CEP152,0.224
c:1/2 - Cep152_gtub_010_SIR_PRJ.dv,35,1.073,0.031,1.050,0,0,0.732,0.306,7.841,5.232,93.451,0.168,CEP152,0.172
c:1/2 - Cep152_gtub_011_SIR_PRJ.dv,2,0.293,0.147,0.287,0,0,1.328,0.479,4.108,5.234,85.514,0.315,CEP152,0.452
c:1/2 - Cep152_gtub_012_SIR_PRJ.dv,2,0.250,0.125,0.244,0,0,1.452,0.510,5.293,5.056,80.566,0.408,CEP152,0.206
c:1/2 - Cep152_gtub_013_SIR_PRJ.dv,3,0.242,0.081,0.237,0,0,1.025,0.394,5.530,5.254,72.755,0.250,CEP152,0.224
c:1/2 - Cep152_gtub_015_SIR_PRJ.dv,2,0.167,0.083,0.163,0,0,1.165,0.434,5.649,5.096,120.308,0.288,CEP152,0.189
c:1/2 - Cep152_gtub_016_SIR_PRJ.dv,3,0.301,0.100,0.294,0,0,1.200,0.395,4.543,4.661,96.841,0.325,CEP152,0.189
c:1/2 - Cep152_gtub_018_SIR_PRJ.dv,2,0.286,0.143,0.279,0,0,2.012,0.586,4.918,5.629,31.994,0.334,CEP152,0.562
c:1/2 - Cep152_gtub_019_SIR_PRJ.dv,2,0.172,0.086,0.168,0,0,1.009,0.390,4.661,6.518,60.482,0.275,CEP152,0.187
