Slice,Count,Total Area,Average Size,%Area,Mean,Image
c:1/2 - JG_Cep152_gtub_036_SIR_PRJ.dv,3,0.240,0.080,0.235,0,1884958
c:1/2 - JG_Cep152_gtub_039_SIR_PRJ.dv,1,0.214,0.214,0.209,0,1884959
c:1/3 - Centrin_Sas6_Cep192_001_SIR_PRJ.dv,3,0.134,0.045,0.131,0,1884960
c:1/3 - Centrin_Sas6_Cep192_002_SIR_PRJ.dv,3,0.108,0.036,0.105,0,1884961
c:1/3 - Centrin_Sas6_Cep192_003_SIR_PRJ.dv,3,0.120,0.040,0.117,0,1884962
c:1/3 - Centrin_Sas6_Cep192_004_SIR_PRJ.dv,2,0.056,0.028,0.055,0,1884963
c:1/3 - Centrin_Sas6_Cep192_007_SIR_PRJ.dv,2,0.089,0.044,0.087,0,1884964
c:1/3 - Centrin_Sas6_Cep192_008_SIR_PRJ.dv,14,0.325,0.023,0.317,0,1884965
c:1/3 - Centrin_Sas6_Cep192_009_SIR_PRJ.dv,22,0.443,0.020,0.433,0,1884966
c:1/3 - Centrin_Sas6_Cep192_010_SIR_PRJ.dv,3,0.105,0.035,0.102,0,1884967
c:1/3 - Centrin_Sas6_Cep192_012_SIR_PRJ.dv,6,0.254,0.042,0.249,0,1884968
c:1/3 - Centrin_Sas6_Cep192_013_SIR_PRJ.dv,4,0.142,0.035,0.139,0,1884969
c:1/3 - Centrin_Sas6_Cep192_014_SIR_PRJ.dv,2,0.131,0.066,0.128,0,1884970
c:1/3 - Centrin_Sas6_Cep192_016_SIR_PRJ.dv,7,0.158,0.023,0.154,0,1884971
c:1/3 - Centrin_Sas6_Cep192_017_SIR_PRJ.dv,6,0.173,0.029,0.169,0,1884972
c:1/3 - Centrin_Sas6_Cep192_018_SIR_PRJ.dv,4,0.142,0.035,0.139,0,1884973
c:1/3 - Centrin_Sas6_Cep192_019_SIR_PRJ.dv,3,0.208,0.069,0.203,0,1884974
c:1/3 - Centrin_Sas6_Cep192_020_SIR_PRJ.dv,3,0.089,0.030,0.087,0,1884975
c:1/3 - Centrin_Sas6_Cep192_022_SIR_PRJ.dv,4,0.087,0.022,0.085,0,1884976
c:1/3 - Centrin_Sas6_Cep192_026_SIR_PRJ.dv,2,0.075,0.037,0.073,0,1884977
c:1/3 - Centrin_Sas6_Cep192_028_SIR_PRJ.dv,3,0.106,0.035,0.104,0,1884978
c:1/3 - Centrin_Sas6_Cep192_030_SIR_PRJ.dv,6,0.273,0.046,0.267,0,1884979
c:1/3 - Centrin_Sas6_Cep192_032_SIR_PRJ.dv,3,0.126,0.042,0.124,0,1884980
c:1/3 - Centrin_Sas6_Cep192_035_SIR_PRJ.dv,4,0.170,0.043,0.166,0,1884981
c:1/3 - Centrin_Sas6_Cep192_036_SIR_PRJ.dv,3,0.150,0.050,0.146,0,1884982
c:1/3 - Centrin_Sas6_Cep192_038_SIR_PRJ.dv,6,0.162,0.027,0.159,0,1884983
c:1/3 - Centrin_Sas6_Cep192_039_SIR_PRJ.dv,2,0.111,0.055,0.108,0,1884984
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1301_1_SIR_PRJ.dv,1,0.378,0.378,0.368,0,1884985
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1315_1_SIR_PRJ.dv,2,0.519,0.260,0.505,0,1884986
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1318_1_SIR_PRJ.dv,2,0.455,0.227,0.443,0,1884987
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1436_1_SIR_PRJ.dv,3,0.420,0.140,0.409,0,1884988
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1438_1_SIR_PRJ.dv,2,0.450,0.225,0.438,0,1884989
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1443_1_SIR_PRJ.dv,3,0.466,0.155,0.453,0,1884990
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1446_1_SIR_PRJ.dv,2,0.334,0.167,0.325,0,1884991
c:1/2 - Ctrl_Cep192_Cent_20101014_Thu-1452_1_SIR_PRJ.dv,1,0.337,0.337,0.328,0,1884992
c:1/3 - Centrin_Cpap_PCNTN20_001_SIR_PRJ.dv,6,0.193,0.032,0.189,0,1884993
c:1/3 - Centrin_Cpap_PCNTN20_002_SIR_PRJ.dv,5,0.154,0.031,0.151,0,1884994
c:1/3 - Centrin_Cpap_PCNTN20_003_SIR_PRJ.dv,7,0.284,0.041,0.278,0,1884995
c:1/3 - Centrin_Cpap_PCNTN20_004_SIR_PRJ.dv,9,0.314,0.035,0.307,0,1884996
c:1/3 - Centrin_Cpap_PCNTN20_005_SIR_PRJ.dv,3,0.117,0.039,0.114,0,1884997
c:1/3 - Centrin_Cpap_PCNTN20_007_SIR_PRJ.dv,1,0.211,0.211,0.206,0,1884998
c:1/3 - Centrin_Cpap_PCNTN20_008_SIR_PRJ.dv,2,0.084,0.042,0.082,0,1884999
c:1/3 - Centrin_Cpap_PCNTN20_009_SIR_PRJ.dv,3,0.148,0.049,0.145,0,1885000
c:1/3 - Centrin_Cpap_PCNTN20_010_SIR_PRJ.dv,3,0.220,0.073,0.215,0,1885001
c:1/3 - Centrin_Cpap_PCNTN20_011_SIR_PRJ.dv,10,0.410,0.041,0.401,0,1885002
c:1/3 - Centrin_Cpap_PCNTN20_012_SIR_PRJ.dv,3,0.158,0.053,0.154,0,1885003
c:1/3 - Centrin_Cpap_PCNTN20_014_SIR_PRJ.dv,7,0.398,0.057,0.389,0,1885004
c:1/3 - Centrin_Cpap_PCNTN20_016_SIR_PRJ.dv,3,0.434,0.145,0.424,0,1885005
c:1/3 - Centrin_Cpap_PCNTN20_017_SIR_PRJ.dv,5,0.214,0.043,0.209,0,1885006
c:1/3 - Centrin_Cpap_PCNTN20_018_SIR_PRJ.dv,2,0.092,0.046,0.090,0,1885007
